Word,Translation/Explanation,Example Sentence
and,和；以及 (conj.),You and I are friends.
all,全部的；所有 (adj.),All students must attend class.
boy,男孩 (n.),The boy played in the park.
car,汽車 (n.),She drives a red car.
cat,貓 (n.),The cat is sleeping on the sofa.
day,天；白天 (n.),It was a beautiful day.
end,結束；末端 (n./v.),The movie ends at nine.
family,家庭；家人 (n.),My family eats dinner together.
home,家；家裡 (n.),She went home after work.
it,它；這 (pron.),It is raining outside.
man,男人；人 (n.),The man smiled at me.
name,名字；名稱 (n.),What is your name?
one,一；某個 (num./adj.),One student raised her hand.
people,人們；人民 (n.),Many people came to the event.
read,閱讀；讀 (v.),I read a book every night.
school,學校 (n.),She walks to school every day.
speak,說話；講 (v.),He speaks English fluently.
this,這；這個 (pron./adj.),This is my favorite song.
the,這個；那個 (art.),The sun rises in the east.
you,你；您 (pron.),You are very kind.
ask,問；詢問 (v.),Don't be afraid to ask questions.
book,書；書本 (n.),She borrowed a book from the library.
child,孩子；兒童 (n.),Every child deserves an education.
can,能夠；可以 (aux.v.),I can speak three languages.
dog,狗 (n.),My dog loves to run.
eye,眼睛 (n.),She has beautiful blue eyes.
first,第一；首先 (adj./adv.),He finished first in the race.
go,去；走 (v.),Let's go to the park.
he,他 (pron.),He is my best friend.
in,在…裡面；在…內 (prep.),She lives in Taipei.
learn,學習；學 (v.),You can learn a lot from mistakes.
morning,早晨；上午 (n.),I exercise every morning.
open,打開；開放 (v./adj.),Please open the window.
play,玩；演奏 (v.),Children love to play outside.
question,問題；疑問 (n.),She asked a great question.
room,房間；空間 (n.),The room is very clean.
say,說；講 (v.),What did she say?
start,開始；出發 (v.),The meeting starts at 9 AM.
today,今天；今日 (n./adv.),What are you doing today?
word,單字；話語 (n.),He couldn't find the right word.
about,關於；大約 (prep./adv.),Tell me about your day.
at,在（某地點/時間）(prep.),She is at the office.
brother,兄弟；哥哥/弟弟 (n.),My brother is two years older.
chair,椅子 (n.),Please take a seat in the chair.
drink,喝；飲料 (v./n.),Would you like something to drink?
easy,容易的；輕鬆的 (adj.),This exercise is easy.
father,父親；爸爸 (n.),My father taught me to cook.
girl,女孩；少女 (n.),The girl laughed loudly.
help,幫助；協助 (v./n.),Can you help me?
know,知道；了解 (v.),I know how to drive.
my,我的 (pron.),This is my bag.
new,新的；新 (adj.),She bought a new phone.
please,請；使高興 (adv./v.),Please sit down.
paper,紙；報紙 (n.),Write your answer on paper.
rich,富有的；豐富的 (adj.),He became rich through hard work.
she,她 (pron.),She is a great teacher.
show,展示；表演 (v./n.),Show me your work.
son,兒子 (n.),His son just graduated.
they,他們；她們 (pron.),They went to the cinema.
what,什麼；多麼 (pron./adj.),What do you want for lunch?
always,總是；一直 (adv.),She always arrives on time.
body,身體；主體 (n.),Exercise is good for your body.
be,是；存在 (v.),Be kind to others.
cry,哭泣；喊叫 (v.),The baby began to cry.
careful,小心的；謹慎的 (adj.),Be careful when crossing the road.
door,門 (n.),Please close the door.
everything,一切；每件事 (pron.),Everything will be alright.
face,臉；面對 (n./v.),She has a kind face.
her,她的；她 (pron.),I gave her a gift.
if,如果；假如 (conj.),"If it rains, we'll stay home."
many,許多的；很多 (adj.),Many people attended the concert.
no,不；沒有 (adv./adj.),There is no time to waste.
place,地方；地點 (n.),This is a beautiful place.
pen,筆；鋼筆 (n.),Can I borrow your pen?
road,道路；公路 (n.),The road is very long.
student,學生 (n.),She is an excellent student.
stop,停止；停下 (v.),Stop talking during the movie.
two,二；兩個 (num.),I have two sisters.
where,哪裡；在哪 (adv.),Where do you live?
want,想要；需要 (v.),I want to travel the world.
answer,回答；答案 (n./v.),Please answer the question.
between,在…之間 (prep.),Choose between the two options.
clear,清楚的；清晰 (adj.),The explanation was very clear.
country,國家；鄉村 (n.),France is a beautiful country.
dance,跳舞；舞蹈 (v./n.),She loves to dance.
do,做；執行 (v.),What do you do for fun?
each,每個；各自 (adj./pron.),Each student must submit their work.
friend,朋友 (n.),She is my best friend.
his,他的 (pron.),This is his car.
job,工作；職業 (n.),He has a great job.
life,生命；生活 (n.),Life is full of surprises.
more,更多；更 (adj./adv.),I need more time.
park,公園；停車 (n./v.),Let's have lunch in the park.
person,人；個人 (n.),She is a very kind person.
ready,準備好的 (adj.),Are you ready to go?
second,第二；秒 (adj./n.),Wait just one second.
soon,很快；不久 (adv.),She will arrive soon.
that,那個；以便 (pron./conj.),I believe that you can do it.
we,我們 (pron.),We are a great team.
why,為什麼 (adv.),Why are you late?
able,能夠；有能力 (adj.),Are you able to help me?
but,但是；然而 (conj.),I was tired but happy.
before,在…之前；以前 (prep./adv.),Finish your work before dinner.
close,關閉；靠近 (v./adj.),Please close the door.
clean,乾淨的；清潔 (adj./v.),Keep your room clean.
dream,夢想；夢 (n./v.),Follow your dream.
eight,八；8 (num.),She wakes up at eight.
for,為了；給 (prep.),This gift is for you.
