Word,Translation/Explanation,Example Sentence
a,一個 (op),This is a small book.
able,有能力的 (adj.),He is able to go.
about,關於 (op),The story is about a dog.
account,帳戶;帳目 (n.),Give an account of it.
acid,酸的 (adj.),The apple has an acid taste.
across,橫過 (op),Go across the wide street.
act,行為;法案 (n.),It was a good act.
addition,增加 (n.),Make an addition to the list.
adjustment,調整 (n.),The adjustment of the clock is good.
advertisement,廣告 (n.),I see the advertisement in the paper.
after,在...之後 (op),Come to my house after the meal.
again,再次 (op),Please say it again.
against,反對;對抗 (op),He is against the idea.
agreement,協議;同意 (n.),We have a good agreement.
air,空氣 (n.),The air is cold today.
all,全部 (op),All the men are here.
almost,幾乎 (op),It is almost time to go.
among,在...之中 (op),He is among friends.
amount,數量 (n.),The amount of money is small.
amusement,娛樂 (n.),This play is for your amusement.
and,而且 (op),You and I will go.
angle,角度 (pic),The angle of the table is sharp.
angry,生氣的 (adj.),He is angry with me.
animal,動物 (n.),The dog is a good animal.
answer,回答 (n.),Give a simple answer.
ant,螞蟻 (pic),The ant is on the floor.
any,任何 (op),Do you have any money?
apparatus,儀器 (n.),The apparatus is ready for use.
apple,蘋果 (pic),I will give you an apple.
approval,贊成 (n.),He gave his approval to me.
arch,拱門 (pic),The arch is very high.
argument,爭論 (n.),The argument was long and loud.
arm,手臂 (pic),Put the bag on your arm.
army,軍隊 (pic),The army is at the town.
art,藝術 (n.),This book is about art.
as,如同 (op),It is as big as that.
at,在 (op),He is at the house.
attack,攻擊 (n.),The attack was sudden.
attempt,嘗試 (n.),Make an attempt to do it.
attention,注意 (n.),Give attention to the teacher.
attraction,吸引力 (n.),The attraction of the sea is great.
authority,權威;當局 (n.),He has the authority to go.
automatic,自動的 (adj.),The machine is automatic.
awake,醒著的 (opp.),He is awake now.
baby,嬰兒 (pic),The baby is in the bed.
back,背部;後面 (n.),Put it on your back.
bad,壞的 (opp.),That was a bad act.
bag,袋子 (pic),Put the book in the bag.
balance,平衡 (n.),Keep your balance on the wall.
ball,球 (pic),Give the ball to the boy.
band,帶子;樂隊 (pic),The band is on the box.
base,底部;基礎 (n.),The base of the building is strong.
basin,臉盆 (pic),The basin is full of water.
basket,籃子 (pic),Put the fruit in the basket.
bath,洗澡 (pic),Take a bath in the morning.
be,是 (operator),I will be there.
beautiful,美麗的 (adj.),This is a beautiful flower.
because,因為 (op),He is happy because of you.
bed,床 (pic),Go to your bed now.
bee,蜜蜂 (pic),The bee is in the garden.
before,在...之前 (op),Go before the rain.
behavior,行為 (n.),His behavior is very good.
belief,信念;相信 (n.),It is my belief.
bell,鈴 (pic),I hear the bell.
bent,彎曲的 (adj.),The stick is bent.
berry,漿果 (pic),The berry is red and sweet.
between,在...之間 (op),It is between the two houses.
bird,鳥 (pic),The bird is in the tree.
birth,出生 (n.),The birth was yesterday.
bit,少量 (n.),Give me a bit of bread.
bite,咬 (n.),The dog gave a bite.
bitter,苦的 (adj.),The drink is bitter.
black,黑色的 (adj.),The cat is black.
blade,刃 (pic),The blade is very sharp.
blood,血液 (n.),The blood is red.
blow,吹;打擊 (n.),The blow was hard.
blue,藍色的 (adj.),The sky is blue.
board,木板 (pic),The board is long.
boat,小船 (pic),The boat is on the water.
body,身體 (n.),Keep your body warm.
boiling,沸騰的 (adj.),The water is boiling now.
bone,骨頭 (pic),The dog has a bone.
book,書 (pic),Give me the book.
boot,靴子 (pic),Put on your boot.
bottle,瓶子 (pic),The bottle is empty.
box,箱子 (pic),Put it in the box.
boy,男孩 (pic),The boy is here.
brain,腦 (pic),The brain is complex.
brake,煞車 (pic),The brake is not good.
branch,樹枝 (pic),The branch is on the grass.
brass,黃銅 (n.),The cup is of brass.
bread,麵包 (n.),Give me some bread.
breath,呼吸 (n.),Take a deep breath.
brick,磚頭 (pic),The wall is of brick.
bridge,橋 (pic),Go across the bridge.
bright,明亮的 (adj.),The light is bright.
broken,破碎的 (adj.),The glass is broken.
brother,兄弟 (n.),He is my brother.
brown,棕色的 (adj.),The dog is brown.
brush,刷子 (pic),Use the brush on your hair.
bucket,水桶 (pic),The bucket is full.
building,建築 (n.),The building is high.
bulb,燈泡 (pic),The bulb is broken.
burn,燒傷 (n.),He has a burn on his hand.
burst,爆裂 (n.),There was a burst of light.
business,生意 (n.),He has a good business.
but,但是 (op),He is poor but happy.
butter,奶油 (n.),Put butter on the bread.
button,鈕扣 (pic),The button is small.
by,由;在旁邊 (op),Go by the road.
cake,蛋糕 (pic),Make a sweet cake.
camera,照相機 (pic),Take a picture with the camera.
canvas,帆布 (pic),The sail is of canvas.
card,卡片 (pic),Give me the card.
care,小心 (n.),Take care of the baby.
carriage,馬車 (pic),The carriage is at the door.
cart,小推車 (pic),Put the fruit in the cart.
cat,貓 (pic),The cat is on the mat.
cause,原因 (n.),What is the cause of it?
certain,肯定的 (adj.),I am certain of it.
chain,鏈條 (pic),The dog is on a chain.
chalk,粉筆 (pic),Get a bit of chalk.
chance,機會 (n.),Give me a chance.
change,改變 (n.),Make a change to the plan.
cheap,便宜的 (adj.),The book is cheap.
cheese,乳酪 (pic),I will have some cheese.
chemical,化學的 (adj.),This is a chemical reaction.
chest,胸部;大箱子 (pic),His chest is strong.
chief,首領;主要的 (adj.),He is the chief man.
chin,下巴 (pic),He has a long chin.
church,教堂 (pic),The church is in the town.
circle,圓圈 (pic),Make a circle on the paper.
clean,乾淨的 (adj.),The house is clean.
clear,清晰的 (adj.),The water is clear.
clock,時鐘 (pic),The clock is on the wall.
cloth,布 (n.),The cloth is blue.
cloud,雲 (pic),The cloud is white.
coal,煤 (n.),Put coal on the fire.
coat,外套 (pic),Put on your coat.
cold,冷的 (opp.),The water is cold.
collar,衣領 (pic),The collar is white.
color,顏色 (n.),The color is red.
comb,梳子 (pic),Use the comb on your hair.
come,來 (operator),Come to my house.
comfort,安慰;舒適 (n.),He gave comfort to me.
committee,委員會 (n.),The committee is in the meeting.
common,共同的;常見的 (adj.),It is a common thing.
company,公司;伴侶 (n.),He is in good company.
comparison,比較 (n.),Make a comparison of the two.
complete,完整的 (adj.),The work is complete.
competition,競爭 (n.),The competition was hard.
complex,複雜的 (adj.),The machine is complex.
condition,條件;狀況 (n.),The condition is good.
connection,連接 (n.),The connection is broken.
conscious,有意識的 (adj.),He is conscious now.
control,控制 (n.),Keep control of the dog.
cook,廚師 (n.),He is a good cook.
copper,銅 (n.),The cup is of copper.
copy,副本;拷貝 (n.),Make a copy of this.
cord,繩索 (pic),The cord is long.
cork,軟木塞 (pic),Put the cork in the bottle.
cotton,棉花 (n.),The cloth is of cotton.
cough,咳嗽 (n.),He has a bad cough.
country,國家;鄉下 (n.),This is a beautiful country.
cover,封面;蓋子 (n.),Put a cover on it.
cow,乳牛 (pic),The cow gives milk.
crack,裂縫 (n.),There is a crack in the glass.
credit,信用 (n.),He has good credit.
crime,罪行 (n.),It was a bad crime.
cruel,殘忍的 (opp.),The man was cruel.
crush,壓碎 (n.),There was a great crush.
cry,哭聲 (n.),I hear a cry.
cup,杯子 (pic),Give me a cup of water.
current,潮流 (n.),The current is strong.
curtain,窗簾 (pic),The curtain is red.
curve,曲線 (n.),The road has a curve.
cushion,墊子 (pic),Sit on the cushion.
cut,切口 (adj.),The bread is cut.
damage,損害 (n.),The damage is great.
danger,危險 (n.),He is in danger.
dark,黑暗的 (opp.),The room is dark.
daughter,女兒 (n.),She is my daughter.
day,白天;日子 (n.),It is a good day.
dead,死的 (opp.),The animal is dead.
dear,親愛的;昂貴的 (adj.),He is a dear friend.
death,死亡 (n.),Death is at the end.
debt,債務 (n.),He has a great debt.
decision,決定 (n.),Make a decision now.
deep,深的 (adj.),The water is deep.
degree,程度;度數 (n.),The degree of heat is high.
delicate,纖細的;精美的 (adj.),The flower is delicate.
dependent,依賴的 (adj.),He is dependent on you.
design,設計 (n.),The design is beautiful.
desire,慾望 (n.),He has a desire for food.
destruction,破壞 (n.),The destruction was complete.
detail,細節 (n.),Give every detail of it.
development,發展 (n.),The development is slow.
different,不同的 (adj.),This is different from that.
digestion,消化 (n.),His digestion is good.
direction,方向 (n.),Go in this direction.
dirty,骯髒的 (adj.),The floor is dirty.
discovery,發現 (n.),It was a great discovery.
discussion,討論 (n.),We had a long discussion.
disease,疾病 (n.),He has a disease.
disgust,厭惡 (n.),He has disgust for the food.
distance,距離 (n.),The distance is long.
distribution,分配 (n.),The distribution was equal.
division,分割;部門 (n.),Make a division of the bread.
do,做 (operator),Do your work now.
dog,狗 (pic),The dog is my friend.
door,門 (pic),Open the door.
doubt,懷疑 (n.),I have no doubt of it.
down,向下 (op),Go down the street.
drain,排水管 (pic),The drain is full.
drawer,抽屜 (pic),Put it in the drawer.
dress,洋裝 (pic),She has a new dress.
drink,飲料 (n.),Give me a drink of water.
